,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,0.09381656,0.09190605,0.27719885,0.19535387,0.19364215,0.04597693,0.066462174,0.067115426,0.031074066,0.030144313,0.103924654,0.1044108,0.110563815,0.088587865,0.034533627,0.04861536,0.06774506,0.06797565,0.23861483,0.23492552,0.22960764,0.22981742,0.08715974,0.006033849,0.13421848,0.016102076,0.09010155,0.059588067,0.057385255,0.05780656,0.05325734,0.1848214,0.023774669,0.21320859,0.21067983,0.024072606,0.028278684,0.12427899,0.005043894,0.07157454,0.11508244,0.066166066,0.121491805,0.12270637,0.12181187,0.17478122,0.16388418,0.05117564,0.05386822,0.08819898,0.09311265,0.00402432
1,0.103640184,0.102385074,0.24512142,0.16732952,0.16603132,0.0483661,0.062633984,0.06289537,0.034522895,0.032817684,0.10118303,0.101548836,0.09574762,0.10087797,0.041302323,0.039772533,0.050099917,0.049756214,0.22104846,0.21913433,0.2059175,0.20582289,0.081246,0.007104095,0.119888335,0.014562683,0.086590886,0.059116654,0.057467416,0.061638754,0.056190584,0.1809179,0.023565572,0.18322487,0.18013917,0.02672731,0.031885024,0.12802187,0.0066060442,0.075739115,0.111608595,0.07360185,0.117749855,0.07945864,0.07831719,0.1660791,0.15552337,0.046822388,0.049352355,0.08896921,0.09297718,0.0037119857
2,0.07768981,0.07702504,0.2750166,0.19304568,0.1911188,0.05266773,0.056577887,0.058307685,0.02512166,0.022178287,0.08611461,0.085904956,0.10841208,0.098276906,0.040996186,0.05045744,0.08086594,0.080615744,0.25632134,0.2533052,0.26703665,0.26732603,0.08205393,0.006738185,0.11710504,0.01549528,0.09063664,0.05989059,0.058888614,0.06673047,0.05977518,0.1847695,0.021025952,0.16553342,0.16388075,0.025086349,0.030081704,0.1342401,0.00770529,0.08149327,0.119923264,0.07678873,0.10766317,0.05712384,0.05993751,0.16653937,0.1575026,0.035083625,0.03823177,0.07873966,0.08351445,0.004111372
3,0.061174028,0.06066131,0.3489892,0.26041344,0.260701,0.044916134,0.060027003,0.061787937,0.028926719,0.026574042,0.11189294,0.11099226,0.12880258,0.08585762,0.035922278,0.06601539,0.03351,0.031931058,0.20724219,0.20394935,0.23763248,0.23875478,0.08822217,0.0068954453,0.13211146,0.017463822,0.090186216,0.05092243,0.05058027,0.0639137,0.061034277,0.19501522,0.025218302,0.2037859,0.19903824,0.025134243,0.030101277,0.12437186,0.0066517945,0.073361605,0.112785675,0.073022634,0.13147157,0.056403056,0.057707198,0.18509981,0.17424342,0.047139704,0.051104184,0.08187909,0.086511105,0.0046525192
4,0.06826389,0.06800294,0.38166183,0.29388398,0.2951923,0.041975528,0.06205006,0.06295928,0.02949144,0.026774716,0.11666034,0.11480312,0.1254864,0.08380951,0.035095792,0.06381033,0.022641141,0.020672476,0.19859572,0.19647056,0.23775136,0.23934805,0.08832589,0.006851443,0.13436502,0.017620139,0.08934799,0.04909405,0.047926307,0.062769346,0.06304775,0.19865386,0.029176524,0.21943268,0.2129672,0.024863675,0.029813174,0.12460426,0.0044749863,0.06861738,0.10714556,0.073070765,0.14254442,0.05938176,0.057018988,0.19051515,0.17807406,0.051388778,0.05488793,0.08426723,0.08818623,0.0047895876
5,0.07056895,0.06923055,0.37090895,0.28929323,0.290036,0.04027895,0.058827054,0.058903366,0.02281542,0.019202055,0.11367895,0.11219825,0.10742423,0.093920186,0.041734435,0.04993332,0.024574408,0.023001038,0.1835977,0.18315908,0.27223346,0.2734697,0.09689628,0.007154857,0.15143506,0.017585915,0.09115605,0.046016973,0.043923277,0.06831356,0.06941366,0.2005029,0.030684995,0.24634603,0.23930018,0.02370818,0.028746624,0.11799759,0.0031639878,0.066416286,0.10354413,0.06939784,0.16163906,0.06313007,0.05606883,0.20220374,0.18824673,0.06112326,0.06382917,0.084509335,0.08884664,0.0057232385
6,0.05117236,0.050388668,0.4033758,0.31696516,0.31773376,0.036541954,0.057193,0.05783105,0.019508207,0.016236505,0.113388605,0.11192265,0.0984247,0.09214459,0.038323164,0.042497866,0.024672907,0.023107713,0.17770705,0.17671268,0.27277392,0.27453104,0.10224925,0.0071726423,0.17357454,0.0190642,0.099190764,0.04203987,0.040184863,0.05802873,0.060064744,0.20671657,0.029786563,0.2688917,0.26105464,0.021127474,0.026055345,0.11621055,0.0033006482,0.06211929,0.109460674,0.05857235,0.15869737,0.06171912,0.056781013,0.209781,0.19564484,0.053481713,0.056143664,0.079048134,0.08352084,0.006198607
7,0.029574856,0.028132506,0.39672333,0.30619502,0.3062268,0.03937895,0.04187191,0.044868477,0.025684755,0.024995986,0.117300816,0.11862393,0.15270357,0.06320198,0.024624595,0.077947445,0.025595356,0.023765093,0.16072586,0.15461531,0.21522722,0.21674627,0.11122675,0.0045938473,0.19347206,0.024711017,0.10156496,0.03845058,0.03797616,0.05674974,0.053233683,0.21904695,0.022630718,0.29377812,0.28797835,0.02048783,0.025012182,0.1163367,0.0054385457,0.06247248,0.11887334,0.05362372,0.17418864,0.07134713,0.07077673,0.2090725,0.19964644,0.05679299,0.061669298,0.067540824,0.07321139,0.0066702054
8,0.030718371,0.03030447,0.42600736,0.33085176,0.33005863,0.036750324,0.049380817,0.053719744,0.01853178,0.017238181,0.1018194,0.10248627,0.1101078,0.09474547,0.040021025,0.05054675,0.04180177,0.040350955,0.19545999,0.19065909,0.26587063,0.26762408,0.11411394,0.005139703,0.2046663,0.024437679,0.10494613,0.03865168,0.037822362,0.047203925,0.042726945,0.21713036,0.020596446,0.31598324,0.30994195,0.018571384,0.023627894,0.11571996,0.005967548,0.058826294,0.11842989,0.04745008,0.17108028,0.09903089,0.100872815,0.21691187,0.20475245,0.054553345,0.058536246,0.07246854,0.07923895,0.006931816
9,0.05245734,0.051645186,0.4566025,0.3676645,0.36818367,0.035542298,0.05489948,0.056788936,0.023864042,0.021700423,0.121876694,0.1219081,0.10122535,0.09111521,0.03607346,0.042516973,0.028820757,0.027004685,0.18204275,0.1786809,0.27080876,0.27277482,0.10864115,0.0065163737,0.18781094,0.021670908,0.09942841,0.039983846,0.038281232,0.051235028,0.05136626,0.21044412,0.026083358,0.29175913,0.2839994,0.019813351,0.025333641,0.10962767,0.0035656802,0.0606157,0.11018961,0.052833322,0.16902447,0.076165795,0.072076105,0.22239846,0.207695,0.057030108,0.059771933,0.07788668,0.08212788,0.0058803004
